instance,N,energy,merit_factor,best-known,%_of_best,source,wall_time_s,hardware,solver
LABS-4,4,2,4.0,2,100.0,optimum,0.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-5,5,2,6.25,2,100.0,optimum,0.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-6,6,7,2.57,7,100.0,optimum,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-7,7,3,8.17,3,100.0,optimum,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-8,8,8,4.0,8,100.0,optimum,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-9,9,12,3.38,12,100.0,optimum,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-10,10,13,3.85,13,100.0,optimum,0.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-11,11,5,12.1,5,100.0,optimum,0.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-12,12,10,7.2,10,100.0,optimum,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-13,13,6,14.08,6,100.0,optimum,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-14,14,19,5.16,19,100.0,optimum,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-15,15,23,4.89,15,65.22,optimum,0.05,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-16,16,24,5.33,24,100.0,optimum,0.05,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-17,17,32,4.52,32,100.0,optimum,0.06,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-18,18,25,6.48,25,100.0,optimum,0.06,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-19,19,37,4.88,29,78.38,optimum,0.07,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-20,20,34,5.88,26,76.47,optimum,0.07,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-21,21,34,6.49,26,76.47,optimum,0.08,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-22,22,39,6.21,39,100.0,optimum,0.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-23,23,51,5.19,47,92.16,optimum,0.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-24,24,52,5.54,36,69.23,optimum,0.11,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-25,25,56,5.58,36,64.29,optimum,0.13,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-26,26,61,5.54,45,73.77,optimum,0.14,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-27,27,37,9.85,37,100.0,optimum,0.16,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
